0	62.991940
1	143.426180
2	355.756032
3	383.072597
4	405.490594
5	257.165828
6	94.987308
7	209.159191
8	262.517771
9	57.899872
10	430.471757
11	335.454814
12	35.018130
13	176.688391
14	145.809931
15	91.168971
16	499.620414
17	333.800389
18	143.533378
19	213.803840
20	43.318691
21	409.932739
22	122.391223
23	349.604928
24	48.170058
25	144.242751
26	201.962846
27	194.281451
28	187.100609
29	37.283877
30	90.945638
31	250.092550
32	180.710057
33	446.701671
34	133.165146
35	86.200652
36	203.867498
37	228.152455
38	295.359843
39	466.385270
40	286.052327
41	225.831599
42	301.840083
43	321.070456
44	402.519991
45	447.650014
46	412.239427
47	402.140404
48	281.450402
49	55.772804
